tick,scent_id,energy,x,y
1,0,992.5999999999999,66,7,
1,2,992.5999999999999,53,23,
1,5,992.5999999999999,24,98,
1,1,992.5999999999999,8,66,
1,4,992.5999999999999,52,75,
1,3,992.5999999999999,92,38,
26,3,900.0999999999988,92,38,
26,4,900.0999999999988,52,75,
26,0,900.0999999999988,66,7,
26,2,900.0999999999988,53,23,
26,1,900.0999999999988,8,66,
26,5,900.0999999999988,24,98,
51,4,807.5999999999976,52,75,
51,0,807.5999999999976,66,7,
51,2,807.5999999999976,53,23,
51,1,807.5999999999976,8,66,
51,5,807.5999999999976,24,98,
51,3,807.5999999999976,92,38,
76,4,715.0999999999965,52,75,
76,0,715.0999999999965,66,7,
76,3,715.0999999999965,92,38,
76,1,715.0999999999965,8,66,
76,5,715.0999999999965,24,98,
76,2,715.0999999999965,53,23,
101,4,626.2999999999954,52,75,
101,2,629.6999999999955,53,23,
101,1,622.5999999999954,8,66,
101,3,625.2999999999954,92,38,
101,0,627.9999999999955,66,7,
101,5,622.5999999999954,24,98,
126,3,548.9999999999945,92,38,
126,1,543.5999999999945,8,66,
126,0,552.9999999999945,66,7,
126,5,543.5999999999945,24,98,
126,2,541.7999999999945,53,23,
126,4,542.6999999999944,52,75,
151,4,472.49999999999415,52,75,
151,1,467.2999999999942,8,66,
151,3,475.39999999999424,92,38,
151,2,467.49999999999426,53,23,
151,5,469.9999999999942,24,98,
151,0,561.4999999999939,66,7,
176,5,412.59999999999434,24,98,
176,0,548.499999999993,66,7,
176,4,404.8999999999943,52,75,
176,1,399.0999999999944,8,66,
176,2,406.79999999999444,53,23,
176,3,404.49999999999443,92,38,
201,4,347.29999999999444,52,75,
201,5,357.89999999999446,24,98,
201,2,346.1999999999946,53,23,
201,1,325.4999999999946,8,66,
201,0,496.1999999999925,66,7,
201,3,341.6999999999946,92,38,
226,3,284.2999999999947,92,38,
226,1,276.1999999999947,8,66,
226,0,507.2999999999927,66,7,
226,5,303.1999999999946,24,98,
226,4,297.99999999999454,52,75,
226,2,300.7999999999947,53,23,
251,5,259.29999999999467,24,98,
251,3,239.69999999999482,92,38,
251,2,319.39999999999486,53,23,
251,4,245.99999999999466,52,75,
251,1,226.8999999999948,8,66,
251,0,527.0999999999922,66,7,
276,4,196.69999999999476,52,75,
276,2,371.999999999995,53,23,
276,3,188.99999999999494,92,38,
276,5,213.99999999999477,24,98,
276,1,180.2999999999949,8,66,
276,0,548.6999999999912,66,7,
301,1,147.19999999999493,8,66,
301,0,597.7999999999904,66,7,
301,4,236.19999999999482,52,75,
301,2,369.6999999999952,53,23,
301,5,192.69999999999487,24,98,
301,3,147.799999999995,92,38,
326,0,608.0999999999894,66,7,
326,3,106.59999999999502,92,38,
326,1,103.29999999999495,8,66,
