tick,scent_id,energy,x,y,
1,5,992.5999999999999,33,19,
1,2,992.5999999999999,95,93,
1,0,992.5999999999999,71,48,
1,3,992.5999999999999,21,77,
1,1,992.5999999999999,97,48,
1,4,992.5999999999999,61,54,
26,0,900.0999999999988,71,48,
26,4,900.0999999999988,61,54,
26,1,936.0999999999988,97,48,
26,5,900.0999999999988,33,19,
26,3,900.0999999999988,21,77,
26,2,900.0999999999988,95,93,
51,3,807.5999999999976,21,77,
51,0,807.5999999999976,71,48,
51,4,826.5999999999976,61,54,
51,5,807.5999999999976,33,19,
51,1,975.5999999999976,97,48,
51,2,807.5999999999976,95,93,
76,4,823.0999999999965,61,54,
76,5,715.0999999999965,33,19,
76,3,715.0999999999965,21,77,
76,2,747.0999999999965,95,93,
76,1,1032.0999999999965,97,48,
76,0,715.0999999999965,71,48,
101,3,651.5999999999954,21,77,
101,5,723.5999999999954,33,19,
101,0,628.2999999999954,71,48,
101,4,819.5999999999954,61,54,
101,1,1083.5999999999954,97,48,
101,2,789.5999999999954,95,93,
126,5,867.0999999999942,33,19,
126,2,818.0999999999942,95,93,
126,0,574.4999999999943,71,48,
126,3,671.0999999999942,21,77,
126,1,1098.0999999999942,97,48,
126,4,850.0999999999942,61,54,
151,5,1071.599999999993,33,19,
151,3,683.2999999999931,21,77,
151,2,862.5999999999931,95,93,
151,4,863.5999999999931,61,54,
151,0,590.0999999999933,71,48,
151,1,1132.599999999993,97,48,
176,0,649.6999999999923,71,48,
176,5,1117.099999999992,33,19,
176,1,1131.099999999992,97,48,
176,4,894.099999999992,61,54,
176,3,704.499999999992,21,77,
176,2,898.099999999992,95,93,
201,1,1174.5999999999908,97,48,
201,3,720.9999999999909,21,77,
201,2,972.5999999999908,95,93,
201,5,1157.5999999999908,33,19,
201,0,703.8999999999912,71,48,
201,4,918.5999999999908,61,54,
226,2,1058.0999999999897,95,93,
226,4,966.0999999999897,61,54,
226,0,807.3999999999901,71,48,
226,5,1181.0999999999897,33,19,
226,1,1255.0999999999897,97,48,
226,3,732.4999999999898,21,77,
251,3,760.9999999999886,21,77,
251,2,1143.5999999999885,95,93,
251,4,1025.5999999999885,61,54,
251,0,841.899999999989,71,48,
251,1,1287.5999999999885,97,48,
251,5,1179.5999999999885,33,19,
276,1,1333.0999999999874,97,48,
276,4,1073.0999999999874,61,54,
276,5,1195.0999999999874,33,19,
276,2,1210.0999999999874,95,93,
276,3,824.4999999999875,21,77,
276,0,851.3999999999878,71,48,
301,1,913.5999999999863,97,48,
301,0,852.8999999999867,71,48,
301,5,1194.5999999999863,33,19,
301,2,1280.5999999999863,95,93,
301,6,992.5999999999999,88,51,
301,3,869.9999999999864,21,77,
301,4,1117.5999999999863,61,54,
326,3,910.4999999999852,21,77,
326,4,1158.0999999999851,61,54,
326,6,933.0999999999988,88,51,
326,5,1261.0999999999851,33,19,
326,2,1354.0999999999851,95,93,
326,1,944.0999999999851,97,48,
326,0,833.3999999999855,71,48,
351,7,962.9999999999995,98,96,
351,4,1305.599999999984,61,54,
351,2,925.599999999984,95,93,
351,5,1298.599999999984,33,19,
351,3,953.9999999999841,21,77,
351,0,804.8999999999844,71,48,
351,1,991.599999999984,97,48,
351,6,902.5999999999976,88,51,
376,5,1319.0999999999829,33,19,
376,3,1021.499999999983,21,77,
376,0,778.3999999999833,71,48,
376,4,1397.0999999999829,61,54,
376,2,978.0999999999829,95,93,
376,7,894.4999999999984,98,96,
376,6,891.0999999999965,88,51,
376,1,1007.0999999999829,97,48,
401,7,847.9999999999973,98,96,
401,1,1023.5999999999817,97,48,
401,4,922.5999999999817,61,54,
401,0,755.8999999999821,71,48,
401,2,1034.5999999999817,95,93,
401,3,1071.9999999999818,21,77,
401,8,924.899999999999,57,58,
401,5,1336.5999999999817,33,19,
401,6,854.5999999999954,88,51,
426,6,823.0999999999942,88,51,
426,8,906.3999999999978,57,58,
426,7,788.4999999999961,98,96,
426,1,1045.0999999999806,97,48,
426,3,1130.4999999999807,21,77,
426,0,736.399999999981,71,48,
426,2,1049.0999999999806,95,93,
426,5,1326.0999999999806,33,19,
426,4,928.0999999999806,61,54,
451,2,1083.5999999999794,95,93,
451,1,1026.5999999999794,97,48,
451,4,915.5999999999794,61,54,
451,3,1166.9999999999795,21,77,
451,0,727.8999999999799,71,48,
451,7,752.999999999995,98,96,
451,8,903.8999999999967,57,58,
451,6,783.5999999999931,88,51,
451,5,908.5999999999794,33,19,
451,9,988.8999999999999,40,27,
476,4,915.0999999999783,61,54,
476,7,758.4999999999939,98,96,
476,9,913.3999999999987,40,27,
476,5,924.0999999999783,33,19,
476,1,1025.0999999999783,97,48,
476,8,870.3999999999955,57,58,
476,3,1240.4999999999784,21,77,
476,6,728.099999999992,88,51,
476,2,1091.0999999999783,95,93,
476,0,738.3999999999787,71,48,
501,6,671.9999999999909,88,51,
501,4,962.5999999999772,61,54,
501,8,862.8999999999944,57,58,
501,2,1075.5999999999772,95,93,
501,1,1028.5999999999772,97,48,
501,9,867.8999999999976,40,27,
501,7,764.9999999999927,98,96,
501,5,947.5999999999772,33,19,
501,3,1310.9999999999773,21,77,
501,0,716.8999999999776,71,48,
526,7,753.4999999999916,98,96,
526,1,1043.099999999976,97,48,
526,8,842.3999999999933,57,58,
526,3,1394.4999999999761,21,77,
526,0,737.3999999999764,71,48,
526,2,1077.099999999976,95,93,
526,9,819.3999999999965,40,27,
526,5,968.099999999976,33,19,
526,6,606.4999999999898,88,51,
526,4,965.099999999976,61,54,
551,3,957.999999999975,21,77,
551,1,1043.599999999975,97,48,
551,8,815.8999999999921,57,58,
551,10,914.899999999999,18,84,
551,7,763.9999999999905,98,96,
551,5,983.5999999999749,33,19,
551,2,1048.599999999975,95,93,
551,6,544.7999999999888,88,51,
551,9,791.8999999999953,40,27,
551,4,957.5999999999749,61,54,
551,0,725.8999999999753,71,48,
576,7,737.4999999999893,98,96,
576,10,822.3999999999978,18,84,
576,3,994.4999999999739,21,77,
576,6,506.89999999998815,88,51,
576,2,1011.0999999999738,95,93,
576,1,1028.0999999999738,97,48,
576,9,750.3999999999942,40,27,
576,4,938.0999999999738,61,54,
576,8,768.399999999991,57,58,
576,0,733.3999999999742,71,48,
576,5,988.0999999999738,33,19,
601,7,696.9999999999882,98,96,
601,6,468.99999999998835,88,51,
601,3,1033.9999999999727,21,77,
601,2,979.5999999999726,95,93,
601,5,1018.5999999999726,33,19,
601,4,925.5999999999726,61,54,
601,10,733.8999999999967,18,84,
601,0,723.899999999973,71,48,
601,8,738.8999999999899,57,58,
601,1,1044.5999999999726,97,48,
601,9,727.899999999993,40,27,
626,5,1132.0999999999715,33,19,
626,4,898.0999999999715,61,54,
626,7,701.999999999987,98,96,
626,8,701.3999999999887,57,58,
626,1,1034.5999999999715,97,48,
626,2,937.0999999999715,95,93,
626,10,696.3999999999955,18,84,
626,3,989.4999999999716,21,77,
626,0,723.3999999999719,71,48,
626,6,424.4999999999885,88,51,
626,9,694.3999999999919,40,27,
651,0,744.8999999999708,71,48,
651,10,697.3999999999944,18,84,
651,3,990.4999999999704,21,77,
651,1,1044.5999999999704,97,48,
651,7,708.4999999999859,98,96,
651,5,1183.5999999999704,33,19,
651,2,923.0999999999704,95,93,
651,4,821.0999999999704,61,54,
651,8,696.3999999999876,57,58,
651,6,371.5999999999887,88,51,
651,9,679.8999999999908,40,27,
676,6,355.89999999998884,88,51,
676,10,697.3999999999933,18,84,
676,2,892.5999999999692,95,93,
676,0,762.3999999999696,71,48,
676,7,703.9999999999848,98,96,
676,4,734.5999999999692,61,54,
676,5,1164.5999999999692,33,19,
676,3,963.4999999999693,21,77,
676,1,1053.0999999999692,97,48,
676,9,669.9999999999898,40,27,
676,8,697.5999999999865,57,58,
701,9,632.3999999999887,40,27,
701,3,1004.4999999999682,21,77,
701,7,697.4999999999836,98,96,
701,6,330.999999999989,88,51,
701,2,888.0999999999681,95,93,
701,1,1041.099999999968,97,48,
701,8,676.7999999999854,57,58,
701,4,677.0999999999681,61,54,
701,5,1153.599999999968,33,19,
701,10,697.3999999999921,18,84,
701,0,772.8999999999685,71,48,
726,9,607.6999999999878,40,27,
726,2,927.5999999999669,95,93,
726,0,778.3999999999673,71,48,
726,1,1004.0999999999669,97,48,
726,5,1115.099999999967,33,19,
726,7,699.4999999999825,98,96,
726,4,652.499999999967,61,54,
726,3,947.499999999967,21,77,
726,6,302.39999999998906,88,51,
726,10,696.399999999991,18,84,
726,8,650.1999999999844,57,58,
751,4,624.399999999966,61,54,
751,9,583.6999999999869,40,27,
751,10,696.3999999999899,18,84,
751,6,267.09999999998917,88,51,
751,3,841.4999999999659,21,77,
751,8,624.3999999999833,57,58,
751,7,702.4999999999814,98,96,
751,5,1090.5999999999658,33,19,
751,0,812.8999999999662,71,48,
751,2,993.0999999999658,95,93,
751,1,996.0999999999658,97,48,
776,9,540.5999999999858,40,27,
776,2,1042.5999999999647,95,93,
776,8,587.5999999999822,57,58,
776,10,697.8999999999887,18,84,
776,6,244.09999999998928,88,51,
776,5,1049.0999999999647,33,19,
776,1,982.5999999999647,97,48,
776,3,741.9999999999648,21,77,
776,4,587.2999999999649,61,54,
776,7,702.9999999999802,98,96,
776,0,833.3999999999651,71,48,
801,5,1039.0999999999635,33,19,
801,9,506.79999999998506,40,27,
801,6,222.89999999998935,88,51,
801,2,1073.0999999999635,95,93,
801,7,698.4999999999791,98,96,
801,8,588.9999999999811,57,58,
801,0,845.8999999999639,71,48,
801,1,944.0999999999635,97,48,
801,4,588.099999999964,61,54,
801,10,664.8999999999876,18,84,
801,3,663.9999999999636,21,77,
826,2,1074.0999999999624,95,93,
826,6,221.99999999998943,88,51,
826,5,1029.5999999999624,33,19,
826,10,624.5999999999865,18,84,
826,9,466.0999999999853,40,27,
826,8,578.4999999999802,57,58,
826,1,934.0999999999624,97,48,
826,3,624.6999999999625,21,77,
826,0,882.3999999999628,71,48,
826,4,577.5999999999631,61,54,
826,7,698.999999999978,98,96,
851,4,571.6999999999623,61,54,
851,9,452.1999999999855,40,27,
851,10,596.4999999999854,18,84,
851,8,571.4999999999793,57,58,
851,6,206.89999999998952,88,51,
851,2,1064.5999999999613,95,93,
851,7,698.4999999999768,98,96,
851,3,599.9999999999616,21,77,
851,0,958.8999999999617,71,48,
851,1,923.0999999999613,97,48,
851,5,1014.0999999999613,33,19,
876,0,1054.3999999999605,71,48,
876,10,565.0999999999844,18,84,
876,7,697.4999999999757,98,96,
876,8,553.8999999999783,57,58,
876,2,1055.0999999999601,95,93,
876,6,167.79999999998967,88,51,
876,3,568.3999999999608,21,77,
876,1,943.0999999999601,97,48,
876,5,986.5999999999601,33,19,
876,9,464.9999999999857,40,27,
876,4,554.8999999999614,61,54,
901,10,531.7999999999836,18,84,
901,6,143.29999999998972,88,51,
901,8,544.0999999999774,57,58,
901,5,965.099999999959,33,19,
901,1,945.099999999959,97,48,
901,2,1035.599999999959,95,93,
901,9,481.79999999998586,40,27,
901,0,1114.8999999999594,71,48,
901,3,529.6999999999598,21,77,
901,7,698.4999999999745,98,96,
901,4,541.6999999999605,61,54,
926,10,503.7999999999829,18,84,
926,0,1180.3999999999583,71,48,
926,6,110.79999999998974,88,51,
926,3,503.99999999995947,21,77,
926,5,939.5999999999578,33,19,
926,9,472.19999999998606,40,27,
926,7,701.9999999999734,98,96,
926,1,912.0999999999578,97,48,
926,2,1020.5999999999578,95,93,
