tick,scent_id,energy,x,"y,"
1,2,992.5999999999999,15,26,
1,0,992.5999999999999,13,57,
1,1,992.5999999999999,37,5,
1,4,992.5999999999999,32,96,
1,5,992.5999999999999,30,35,
1,3,992.5999999999999,1,9,
26,3,900.0999999999988,1,9,
26,5,900.0999999999988,30,35,
26,1,900.0999999999988,37,5,
26,0,912.0999999999988,13,57,
26,2,900.0999999999988,15,26,
26,4,900.0999999999988,32,96,
51,2,807.5999999999976,15,26,
51,3,807.5999999999976,1,9,
51,5,807.5999999999976,30,35,
51,4,807.5999999999976,32,96,
51,0,867.5999999999976,13,57,
51,1,807.5999999999976,37,5,
76,0,825.0999999999965,13,57,
76,1,716.0999999999965,37,5,
76,2,715.0999999999965,15,26,
76,5,715.0999999999965,30,35,
76,4,718.0999999999965,32,96,
76,3,739.0999999999965,1,9,
101,5,626.5999999999954,30,35,
101,4,653.6999999999955,32,96,
101,2,636.9999999999955,15,26,
101,0,768.5999999999954,13,57,
101,1,672.5999999999954,37,5,
101,3,726.5999999999954,1,9,
126,3,745.0999999999942,1,9,
126,1,687.0999999999942,37,5,
126,2,576.1999999999944,15,26,
126,5,543.1999999999944,30,35,
126,4,609.8999999999944,32,96,
126,0,715.0999999999942,13,57,
151,4,562.3999999999935,32,96,
151,3,740.5999999999931,1,9,
151,0,704.5999999999931,13,57,
151,1,709.0999999999931,37,5,
151,2,544.0999999999933,15,26,
151,5,478.6999999999941,30,35,
176,4,516.8999999999926,32,96,
176,2,523.4999999999925,15,26,
176,0,694.099999999992,13,57,
176,5,406.0999999999943,30,35,
176,3,761.099999999992,1,9,
176,1,749.099999999992,37,5,
201,4,499.09999999999246,32,96,
201,2,535.7999999999915,15,26,
201,0,679.5999999999908,13,57,
201,1,789.5999999999908,37,5,
201,3,867.5999999999908,1,9,
201,5,369.79999999999444,30,35,
226,5,337.9999999999946,30,35,
226,0,677.7999999999897,13,57,
226,4,498.99999999999255,32,96,
226,2,542.0999999999906,15,26,
226,3,943.0999999999897,1,9,
226,1,859.5999999999897,37,5,
251,2,538.6999999999896,15,26,
251,4,495.39999999999276,32,96,
251,5,295.39999999999475,30,35,
251,3,1012.5999999999885,1,9,
251,0,666.2999999999886,13,57,
251,1,900.5999999999885,37,5,
276,2,536.9999999999886,15,26,
276,4,487.199999999993,32,96,
276,1,957.0999999999874,37,5,
276,5,249.19999999999487,30,35,
276,3,1062.0999999999874,1,9,
276,0,654.4999999999875,13,57,
301,4,510.9999999999928,32,96,
301,5,210.59999999999496,30,35,
301,0,640.9999999999864,13,57,
301,2,543.9999999999877,15,26,
301,3,1078.5999999999863,1,9,
301,1,1010.5999999999863,37,5,
326,3,1082.0999999999851,1,9,
326,5,172.09999999999502,30,35,
326,0,631.8999999999853,13,57,
326,4,499.79999999999256,32,96,
326,2,555.3999999999869,15,26,
326,1,1075.5999999999851,37,5,
351,4,486.59999999999275,32,96,
351,3,1095.599999999984,1,9,
351,5,132.8999999999951,30,35,
351,1,1128.099999999984,37,5,
351,2,623.9999999999859,15,26,
351,0,617.0999999999842,13,57,
376,0,602.6999999999832,13,57,
376,4,467.89999999999293,32,96,
376,5,104.09999999999509,30,35,
376,3,1141.0999999999829,1,9,
376,1,1203.0999999999829,37,5,
376,2,659.8999999999849,15,26,
401,2,695.7999999999838,15,26,
401,3,1228.5999999999817,1,9,
401,5,81.99999999999508,30,35,
401,4,442.6999999999931,32,96,
401,1,1271.5999999999817,37,5,
401,0,602.3999999999824,13,57,
426,1,1394.5999999999806,37,5,
426,5,54.899999999995075,30,35,
426,4,411.2999999999933,32,96,
426,0,574.9999999999814,13,57,
426,2,708.2999999999827,15,26,
426,3,1292.0999999999806,1,9,
451,5,26.49999999999507,30,35,
451,0,553.2999999999804,13,57,
451,3,1371.5999999999794,1,9,
451,1,961.5999999999794,37,5,
451,6,930.599999999999,43,5,
451,2,729.7999999999815,15,26,
451,4,384.99999999999346,32,96,
476,6,914.0999999999979,43,5,
476,3,923.0999999999783,1,9,
476,2,740.2999999999804,15,26,
476,1,1041.5999999999783,37,5,
476,7,951.8999999999994,9,17,
476,5,1.4999999999950688,30,35,
476,4,353.59999999999366,32,96,
476,0,539.9999999999795,13,57,
501,1,1234.0999999999772,37,5,
501,0,518.5999999999785,13,57,
501,4,323.7999999999938,32,96,
501,6,938.5999999999967,43,5,
501,7,860.3999999999983,9,17,
501,2,745.7999999999793,15,26,
501,3,928.5999999999772,1,9,
526,2,798.2999999999781,15,26,
526,7,789.8999999999971,9,17,
526,4,306.9999999999939,32,96,
526,0,507.299999999978,13,57,
526,3,942.099999999976,1,9,
526,6,943.0999999999956,43,5,
526,1,1298.099999999976,37,5,
551,3,948.5999999999749,1,9,
551,4,275.89999999999407,32,96,
551,0,509.7999999999782,13,57,
551,7,737.399999999996,9,17,
551,2,857.799999999977,15,26,
551,6,944.5999999999945,43,5,
551,1,1323.599999999975,37,5,
576,0,493.4999999999784,13,57,
576,6,926.0999999999933,43,5,
576,4,246.9999999999942,32,96,
576,3,998.0999999999738,1,9,
576,7,684.8999999999949,9,17,
576,2,919.2999999999759,15,26,
576,1,1354.5999999999738,37,5,
601,0,487.99999999997857,13,57,
601,2,952.2999999999747,15,26,
601,7,627.2999999999938,9,17,
601,1,1379.5999999999726,37,5,
601,3,992.5999999999726,1,9,
601,4,200.09999999999434,32,96,
601,6,908.5999999999922,43,5,
626,2,990.2999999999736,15,26,
626,0,467.09999999997876,13,57,
626,4,182.0999999999944,32,96,
626,7,574.0999999999929,9,17,
626,1,1387.5999999999715,37,5,
626,6,885.099999999991,43,5,
626,3,956.0999999999715,1,9,
651,4,157.19999999999447,32,96,
651,1,910.0999999999704,37,5,
651,8,974.0999999999997,38,4,
651,3,931.5999999999704,1,9,
651,6,876.5999999999899,43,5,
651,2,1043.7999999999724,15,26,
651,0,469.19999999997896,13,57,
651,7,521.799999999992,9,17,
676,0,461.29999999997915,13,57,
676,2,1120.2999999999713,15,26,
676,3,888.0999999999692,1,9,
676,7,471.59999999999195,9,17,
676,1,894.5999999999692,37,5,
676,6,888.0999999999888,43,5,
676,4,124.59999999999455,32,96,
676,8,905.5999999999985,38,4,
701,6,871.5999999999876,43,5,
701,3,853.5999999999681,1,9,
701,0,459.99999999997937,13,57,
701,2,1168.7999999999702,15,26,
701,4,101.09999999999454,32,96,
701,8,889.0999999999974,38,4,
701,1,901.0999999999681,37,5,
701,7,431.0999999999921,9,17,
726,1,890.0999999999669,37,5,
726,8,893.5999999999963,38,4,
726,7,392.99999999999227,9,17,
726,2,1191.299999999969,15,26,
726,3,804.0999999999669,1,9,
726,0,483.5999999999795,13,57,
726,6,842.0999999999865,43,5,
726,4,83.89999999999453,32,96,
751,3,747.5999999999658,1,9,
751,0,563.399999999979,13,57,
751,8,907.0999999999951,38,4,
751,6,812.5999999999854,43,5,
751,4,65.19999999999453,32,96,
751,1,894.5999999999658,37,5,
751,2,1231.799999999968,15,26,
751,7,329.79999999999245,9,17,
776,4,49.99999999999453,32,96,
776,7,282.8999999999926,9,17,
776,1,900.0999999999647,37,5,
776,6,792.0999999999842,43,5,
776,3,697.0999999999647,1,9,
776,2,1246.7999999999668,15,26,
776,8,902.099999999994,38,4,
776,0,624.0999999999781,13,57,
801,0,650.3999999999771,13,57,
801,1,892.5999999999635,37,5,
801,3,683.2999999999636,1,9,
801,2,1297.7999999999656,15,26,
801,8,896.5999999999929,38,4,
801,6,825.5999999999831,43,5,
801,4,22.89999999999452,32,96,
801,7,248.79999999999268,9,17,
826,8,925.5999999999917,38,4,
826,7,206.19999999999277,9,17,
826,3,654.7999999999624,1,9,
826,1,886.0999999999624,37,5,
826,0,669.2999999999761,13,57,
826,6,835.099999999982,43,5,
826,2,1336.2999999999645,15,26,
851,7,179.89999999999281,9,17,
851,0,672.499999999975,13,57,
851,3,632.6999999999614,1,9,
851,6,825.5999999999808,43,5,
851,1,854.5999999999613,37,5,
851,8,948.0999999999906,38,4,
851,2,1370.2999999999633,15,26,
876,3,594.5999999999603,1,9,
876,1,870.0999999999601,37,5,
876,6,806.0999999999797,43,5,
876,8,957.5999999999894,38,4,
876,0,672.6999999999739,13,57,
876,2,1391.7999999999622,15,26,
876,7,136.2999999999929,9,17,
901,1,861.599999999959,37,5,
901,2,915.2999999999611,15,26,
901,9,959.2999999999995,23,18,
901,0,684.1999999999728,13,57,
901,7,105.49999999999291,9,17,
901,6,785.5999999999785,43,5,
901,8,955.0999999999883,38,4,
901,3,563.1999999999593,1,9,
926,2,919.7999999999599,15,26,
926,6,749.0999999999774,43,5,
926,9,889.7999999999984,23,18,
926,1,852.0999999999578,37,5,
926,3,542.5999999999585,1,9,
926,7,78.7999999999929,9,17,
926,0,686.6999999999716,13,57,
926,8,967.5999999999872,38,4,
951,3,535.6999999999578,1,9,
951,2,919.7999999999588,15,26,
951,7,48.1999999999929,9,17,
951,1,816.5999999999567,37,5,
951,6,723.5999999999763,43,5,
951,9,843.2999999999972,23,18,
951,8,965.099999999986,38,4,
951,0,675.8999999999705,13,57,
976,0,663.0999999999694,13,57,
976,1,790.0999999999556,37,5,
976,8,956.5999999999849,38,4,
976,9,808.7999999999961,23,18,
976,2,918.2999999999577,15,26,
976,7,22.499999999992895,9,17,
976,3,524.0999999999569,1,9,
976,6,711.0999999999751,43,5,
1001,6,697.099999999974,43,5,
1001,0,671.9999999999684,13,57,
1001,3,513.7999999999563,1,9,
1001,1,746.5999999999544,37,5,
1001,2,894.7999999999565,15,26,
1001,8,936.5999999999838,38,4,
1001,9,751.299999999995,23,18,
1026,2,877.2999999999554,15,26,
1026,9,702.7999999999938,23,18,
1026,3,536.0999999999553,1,9,
1026,1,701.0999999999533,37,5,
1026,6,689.7999999999729,43,5,
1026,8,900.5999999999826,38,4,
1026,0,678.1999999999673,13,57,
1051,8,826.5999999999815,38,4,
1051,6,678.4999999999718,43,5,
1051,0,693.6999999999662,13,57,
1051,3,541.7999999999545,1,9,
1051,1,701.5999999999522,37,5,
1051,9,633.2999999999927,23,18,
1051,2,848.7999999999543,15,26,
1076,1,705.599999999951,37,5,
1076,2,816.2999999999531,15,26,
1076,0,698.199999999965,13,57,
1076,9,576.9999999999918,23,18,
1076,6,674.9999999999707,43,5,
1076,3,566.7999999999536,1,9,
1076,8,810.5999999999804,38,4,
1101,0,782.6999999999639,13,57,
1101,6,675.4999999999695,43,5,
1101,1,699.5999999999499,37,5,
1101,8,748.5999999999792,38,4,
1101,2,789.799999999952,15,26,
